jalur_busway,41,75,69,179,000.jpg,256,256
car,35,179,46,73,000.jpg,256,256
car,174,164,46,69,000.jpg,256,256
motorcycle,78,147,16,59,000.jpg,256,256
motorcycle,57,106,13,47,000.jpg,256,256
motorcycle,76,95,14,45,000.jpg,256,256
motorcycle,70,65,12,43,000.jpg,256,256
motorcycle,80,66,11,45,000.jpg,256,256
motorcycle,78,39,12,31,000.jpg,256,256
motorcycle,162,174,15,60,000.jpg,256,256
motorcycle,224,182,16,69,000.jpg,256,256
jalur_busway,44,121,58,135,001.jpg,256,256



motorcycle,43,177,39,52,001.jpg,256,256
motorcycle,77,100,10,26,001.jpg,256,256
motorcycle,47,113,15,32,001.jpg,256,256
motorcycle,51,90,8,21,001.jpg,256,256
jalur_busway,32,79,67,176,002.jpg,256,256
car,130,116,50,84,002.jpg,256,256
car,107,79,45,60,002.jpg,256,256
motorcycle,34,147,26,85,002.jpg,256,256
motorcycle,69,114,18,68,002.jpg,256,256
motorcycle,46,97,17,55,002.jpg,256,256
motorcycle,93,170,29,86,002.jpg,256,256
motorcycle,64,83,13,53,002.jpg,256,256
motorcycle,38,51,9,42,002.jpg,256,256
jalur_busway,50,121,60,133,003.jpg,256,256
motorcycle,48,174,19,52,003.jpg,256,256
motorcycle,59,216,22,40,003.jpg,256,256
motorcycle,96,132,16,34,003.jpg,256,256
motorcycle,84,124,11,33,003.jpg,256,256
car,99,74,18,27,003.jpg,256,256
car,125,103,22,42,003.jpg,256,256
car,163,177,31,54,003.jpg,256,256
jalur_busway,76,155,80,101,004.jpg,256,256
car,18,153,24,27,004.jpg,256,256
car,95,90,13,20,004.jpg,256,256
bus,139,83,27,61,004.jpg,256,256
motorcycle,144,168,11,35,004.jpg,256,256
motorcycle,49,151,9,33,004.jpg,256,256
motorcycle,66,133,8,27,004.jpg,256,256
jalur_busway,122,20,39,90,005.jpg,256,256
motorcycle,135,187,16,55,005.jpg,256,256

motorcycle,205,61,12,30,005.jpg,256,256
bus,7,74,118,164,005.jpg,256,256
bus,28,37,200,174,006.jpg,256,256
jalur_busway,46,92,108,131,007.jpg,256,256
bus,45,82,106,130,007.jpg,256,256
car,216,104,28,35,007.jpg,256,256
car,242,59,14,31,007.jpg,256,256
jalur_busway,55,17,89,190,008.jpg,256,256
bus,70,56,83,127,008.jpg,256,256
car,190,48,17,25,008.jpg,256,256
motorcycle,179,195,14,58,008.jpg,256,256
bus,197,96,29,98,008.jpg,256,256
car,151,127,34,93,008.jpg,256,256
car,178,79,24,29,008.jpg,256,256
car,227,104,22,53,008.jpg,256,256
jalur_busway,22,60,65,196,009.jpg,256,256
car,127,115,53,86,009.jpg,256,256
car,108,80,45,58,009.jpg,256,256
car,80,19,20,32,009.jpg,256,256
car,120,96,40,57,009.jpg,256,256
motorcycle,95,172,25,84,009.jpg,256,256
motorcycle,34,148,24,88,009.jpg,256,256
motorcycle,69,115,19,64,009.jpg,256,256
motorcycle,46,95,16,56,009.jpg,256,256
motorcycle,39,52,10,41,009.jpg,256,256
jalur_busway,113,122,137,131,010.jpg,256,256
car,25,54,21,17,010.jpg,256,256
person,118,116,14,26,010.jpg,256,256
motorcycle,98,69,15,34,010.jpg,256,256
motorcycle,70,66,13,28,010.jpg,256,256
motorcycle,105,106,13,34,010.jpg,256,256
motorcycle,155,178,23,70,010.jpg,256,256
motorcycle,141,148,11,60,010.jpg,256,256
jalur_busway,94,64,65,181,011.jpg,256,256
motorcycle,126,145,16,48,011.jpg,256,256
motorcycle,197,68,7,18,011.jpg,256,256
jalur_busway,58,61,50,193,012.jpg,256,256
person,86,129,8,26,012.jpg,256,256
motorcycle,48,176,20,51,012.jpg,256,256
motorcycle,98,131,10,34,012.jpg,256,256
motorcycle,59,219,22,37,012.jpg,256,256
car,99,73,18,27,012.jpg,256,256
jalur_busway,82,103,65,153,013.jpg,256,256
car,215,109,21,16,013.jpg,256,256
car,152,84,10,10,013.jpg,256,256
bus,96,80,26,51,013.jpg,256,256
car,121,101,34,86,013.jpg,256,256
motorcycle,192,121,10,20,013.jpg,256,256
motorcycle,208,137,11,23,013.jpg,256,256
motorcycle,236,151,12,24,013.jpg,256,256
motorcycle,236,170,14,33,013.jpg,256,256
jalur_busway,113,121,60,132,014.jpg,256,256

motorcycle,129,125,16,44,014.jpg,256,256
motorcycle,113,135,13,37,014.jpg,256,256
motorcycle,123,202,22,52,014.jpg,256,256
motorcycle,77,136,13,43,014.jpg,256,256
motorcycle,67,135,11,42,014.jpg,256,256
motorcycle,49,135,12,38,014.jpg,256,256
motorcycle,38,179,17,47,014.jpg,256,256
jalur_busway,141,72,63,184,015.jpg,256,256
bus,165,70,42,81,015.jpg,256,256
jalur_busway,83,59,64,189,016.jpg,256,256
bus,91,62,49,145,016.jpg,256,256
jalur_busway,122,115,61,138,017.jpg,256,256
bus,26,75,79,110,017.jpg,256,256
bus,120,97,54,137,017.jpg,256,256
motorcycle,230,139,10,33,017.jpg,256,256
